name,NSE_code,BSE_code,sector,industry,revenue,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,506943,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,889.4,638.2,243.5,27.62,32.2,10.4,208.7,58.1,150.6,9.7,486.6,31.4
JK Cement Ltd.,JKCEMENT,532644,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,2782.1,2285.8,467.0,16.96,137.1,115.0,244.2,65.7,178.1,23.1,444.0,57.5
JK Lakshmi Cement Ltd.,JKLAKSHMI,500380,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,1588.5,1357.3,217.3,13.8,56.6,33.6,141.0,45.1,92.7,7.9,357.6,30.4
JM Financial Ltd.,JMFINANCIL,523405,DIVERSIFIED,HOLDING COMPANIES,1214.0,407.9,662.6,55.34,13.2,388.1,277.9,72.4,194.9,2.0,608.1,6.4
JSW Energy Ltd.,JSWENERGY,533148,UTILITIES,ELECTRIC UTILITIES,3387.4,1379.0,1880.4,57.69,408.7,513.7,1085.9,235.1,850.2,5.2,1591.7,9.7
JSW Steel Ltd.,JSWSTEEL,500228,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,44821.0,36698.0,7886.0,17.69,2019.0,2084.0,4609.0,1812.0,276.0,11.4,9252.0,38.1
Jindal Stainless Ltd.,JSL,532508,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,9829.0,8566.5,1230.6,12.56,221.9,155.6,985.7,229.1,774.3,9.4,2600.2,31.6
Jindal Steel & Power Ltd.,JINDALSTEL,532286,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,12282.0,9964.5,2285.7,18.66,603.7,329.4,1384.5,-5.8,1387.8,13.8,4056.0,40.4
Jubilant Foodworks Ltd.,JUBLFOOD,533155,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,1375.7,1091.4,277.2,20.25,141.9,56.8,85.5,23.3,97.2,1.5,235.0,3.6
Just Dial Ltd.,JUSTDIAL,535648,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,318.5,211.8,48.8,18.71,12.2,2.4,92.1,20.3,71.8,8.4,314.1,36.9
Jyothy Labs Ltd.,JYOTHYLAB,532926,FMCG,PERSONAL PRODUCTS,745.6,597.0,135.4,18.48,12.3,1.2,135.1,31.1,104.2,2.8,326.9,8.9
KRBL Ltd.,KRBL,530813,FMCG,PACKAGED FOODS,1246.5,1018.9,194.5,16.03,19.9,0.8,206.8,53.6,153.3,6.5,671.4,29.3
Kajaria Ceramics Ltd.,KAJARIACER,500233,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,1129.9,941.9,179.7,16.02,36.1,4.3,147.7,36.6,108.0,6.8,397.8,25.0
Kalpataru Projects International Ltd.,KPIL,522287,UTILITIES,ELECTRIC UTILITIES,453.0,4148.0,370.0,8.19,113.0,137.0,132.0,42.0,89.0,5.5,478.0,29.9
Kansai Nerolac Paints Ltd.,KANSAINER,500165,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,1978.6,1683.3,273.2,13.97,47.4,7.6,240.3,64.8,177.2,2.2,1118.8,13.8
Karur Vysya Bank Ltd.,KARURVYSYA,590003,BANKING AND FINANCE,BANKS,2336.0,616.4,637.9,31.94,0.0,1081.7,511.5,133.1,378.4,4.7,1364.2,17.0
KEC International Ltd.,KEC,532714,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,4514.9,4224.7,274.3,6.1,46.5,177.8,65.8,9.9,55.8,2.2,187.9,7.3
Kotak Mahindra Bank Ltd.,KOTAKBANK,500247,BANKING AND FINANCE,BANKS,21559.5,9681.0,6343.0,46.24,0.0,5535.5,5888.3,1465.5,4461.0,22.4,17172.7,86.4
L&T Finance Holdings Ltd.,L&TFH,533519,DIVERSIFIED,HOLDING COMPANIES,3482.1,935.3,1882.4,58.57,28.3,1324.9,797.4,203.2,595.1,2.4,2080.8,8.4
L&T Technology Services Ltd.,LTTS,540115,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,2427.7,1910.9,475.6,19.93,68.1,12.6,436.1,120.2,315.4,29.8,1239.7,117.5
LIC Housing Finance Ltd.,LICHSGFIN,500253,BANKING AND FINANCE,HOUSING FINANCE,6765.9,250.6,6095.7,90.1,13.2,4599.9,1483.0,291.2,1193.5,21.7,4164.5,75.7
Lakshmi Machine Works Ltd.,LAXMIMACH,500252,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,1355.5,1184.5,136.0,10.3,23.6,0.0,147.4,32.3,115.1,107.8,416.0,389.5
Laurus Labs Ltd.,LAURUSLABS,540222,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1226.2,1036.6,187.9,15.34,93.4,42.4,53.9,14.6,37.0,0.7,367.8,6.8
Lupin Ltd.,LUPIN,500257,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,5079.0,4120.8,917.8,18.21,247.8,80.6,629.7,134.3,489.5,10.8,1331.2,29.2
MMTC Ltd.,MMTC,513377,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING  & DISTRIBUTION,-167.2,-180.1,-30.4,14.42,0.8,1.1,12.1,1.5,52.0,0.3,174.1,1.2
MRF Ltd.,MRF,500290,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,6287.8,5060.2,1156.9,18.61,351.5,85.5,790.6,203.9,586.7,1383.3,1690.9,3988.0
Mahanagar Gas Ltd.,MGL,539957,UTILITIES,UTILITIES,1772.7,1250.1,478.9,27.7,65.8,2.5,454.3,115.8,338.5,34.3,1147.8,116.2
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,532720,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),3863.5,1077.5,2109.3,55.03,67.1,1703.4,369.1,96.0,281.1,2.3,1982.5,16.0
Mahindra & Mahindra Ltd.,M&M,500520,AUTOMOBILES & AUTO COMPONENTS,CARS & UTILITY VEHICLES,35027.2,28705.9,5729.6,16.64,1138.6,1835.2,3347.5,1083.7,2347.8,21.1,11169.4,100.2
Mahindra Holidays & Resorts India Ltd.,MHRIL,533088,HOTELS RESTAURANTS & TOURISM,HOTELS,672.2,519.3,136.0,20.76,83.8,33.3,35.8,14.0,21.3,1.1,66.0,3.3
Manappuram Finance Ltd.,MANAPPURAM,531213,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),2174.0,555.6,1481.3,68.68,62.5,689.4,746.7,186.1,558.4,6.6,1859.8,22.0
Mangalore Refinery And Petrochemicals Ltd.,MRPL,500109,OIL & GAS,REFINERIES/PETRO-PRODUCTS,22904.7,20705.6,2138.2,9.36,296.0,311.2,1592.0,546.2,1051.7,6.0,3784.9,21.6
Marico Ltd.,MARICO,531642,FMCG,PERSONAL PRODUCTS,2514.0,1979.0,497.0,20.07,39.0,20.0,476.0,116.0,353.0,2.7,141.0,10.9
Maruti Suzuki India Ltd.,MARUTI,532500,AUTOMOBILES & AUTO COMPONENTS,CARS & UTILITY VEHICLES,37902.1,32282.5,4790.3,12.92,794.4,35.1,4790.1,1083.8,3764.3,124.6,11351.8,375.9
Max Financial Services Ltd.,MFSL,500271,BANKING AND FINANCE,LIFE INSURANCE,10189.1,10024.6,143.9,1.42,0.8,9.4,158.2,-12.1,147.9,4.3,506.4,14.7
UNO Minda Ltd.,UNOMINDA,532539,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,3630.2,3219.8,401.6,11.09,125.4,27.2,257.9,73.3,225.0,3.9,742.4,13.0
Motilal Oswal Financial Services Ltd.,MOTILALOFS,532892,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,1650.7,724.1,904.5,55.18,17.3,241.1,657.6,124.2,531.2,35.9,1449.3,97.8
MphasiS Ltd.,MPHASIS,526299,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,3325.5,2680.9,595.6,18.18,89.0,34.0,521.7,129.7,391.9,20.8,1605.6,85.1
Muthoot Finance Ltd.,MUTHOOTFIN,533398,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),3631.9,723.4,2801.6,77.69,22.2,1335.0,1470.2,374.9,1059.6,26.4,3982.9,99.2
Natco Pharma Ltd.,NATCOPHARM,524816,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1060.8,573.4,458.0,44.41,43.6,4.2,439.6,70.6,369.0,20.6,1127.4,63.0
NBCC (India) Ltd.,NBCC,534309,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,2129.1,1957.7,95.5,4.65,1.3,0.0,104.6,22.9,79.6,0.4,332.2,1.8
NCC Ltd.,NCC,500294,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,4746.4,4415.9,303.7,6.44,53.2,153.5,123.8,38.8,77.3,1.2,599.4,9.5
NHPC Ltd.,NHPC,533098,UTILITIES,ELECTRIC UTILITIES,3113.8,1173.9,1757.4,59.95,294.9,104.8,1618.3,-75.0,1545.8,1.5,3897.8,3.9
Coforge Ltd.,COFORGE,532541,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,2285.1,1935.3,340.9,14.98,77.2,31.9,240.7,52.8,187.9,29.6,696.2,113.2
NLC India Ltd.,NLCINDIA,513683,UTILITIES,ELECTRIC UTILITIES,3234.0,2143.0,834.6,28.03,455.1,213.9,1700.6,614.7,1084.7,7.8,1912.3,13.8
NTPC Ltd.,NTPC,532555,UTILITIES,ELECTRIC UTILITIES,45384.6,32303.2,12680.2,28.19,4037.7,2920.5,6342.9,2019.7,4614.6,4.8,19125.2,19.7
Narayana Hrudayalaya Ltd.,NH,539551,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,1323.6,997.1,308.1,23.61,55.3,22.9,248.4,21.7,226.6,11.2,737.5,36.1
National Aluminium Company Ltd.,NATIONALUM,532234,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,3112.0,2646.9,396.5,13.03,186.2,4.0,275.0,68.7,187.3,1.0,1272.4,6.9
Navin Fluorine International Ltd.,NAVINFLUOR,532504,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,494.9,373.4,98.3,20.84,24.2,20.0,77.2,16.6,60.6,12.2,365.0,73.7
Oberoi Realty Ltd.,OBEROIRLTY,533273,REALTY,REALTY,1243.8,579.2,638.2,52.42,11.3,56.5,596.8,142.1,456.8,12.6,1961.3,53.9
Oil And Natural Gas Corporation Ltd.,ONGC,500312,OIL & GAS,EXPLORATION & PRODUCTION,149388.5,118618.4,28255.3,19.24,6698.1,2603.3,21564.9,5633.6,13734.1,10.9,43072.5,34.2
Oil India Ltd.,OIL,533106,OIL & GAS,EXPLORATION & PRODUCTION,9200.1,5293.3,3523.2,39.96,499.0,278.9,762.0,67.6,420.7,3.9,5874.5,54.2
Oracle Financial Services Software Ltd.,OFSS,532466,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1509.6,886.4,558.1,38.64,19.0,8.0,596.2,178.8,417.4,48.2,1835.1,211.9
PI Industries Ltd.,PIIND,523642,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,2163.8,1565.5,551.4,26.05,80.3,7.8,510.2,31.7,480.5,31.7,1495.8,98.4
PNB Housing Finance Ltd.,PNBHOUSING,540173,BANKING AND FINANCE,HOUSING FINANCE,1779.4,158.8,1574.1,88.54,11.3,1057.3,507.1,124.1,383.0,14.8,1278.7,49.3
PNC Infratech Ltd.,PNCINFRA,539150,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,1932.4,1511.6,399.8,20.92,40.9,161.3,218.6,70.7,147.9,5.8,614.3,23.9
PVR INOX Ltd.,PVRINOX,532689,RETAILING,SPECIALTY RETAIL,2023.7,1293.1,706.8,35.34,308.6,200.3,221.7,55.5,166.3,17.0,-232.5,-23.7
Page Industries Ltd.,PAGEIND,532827,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,1126.8,891.6,233.5,20.76,24.6,11.2,199.4,49.1,150.3,134.7,510.7,457.9
Persistent Systems Ltd.,PERSISTENT,533179,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,2449.0,2006.5,405.2,16.8,74.4,12.3,355.8,92.5,263.3,35.0,981.5,127.6
Petronet LNG Ltd.,PETRONET,532522,OIL & GAS,OIL MARKETING & DISTRIBUTION,12686.2,11317.9,1214.7,9.69,194.8,74.7,1098.8,283.9,855.7,5.7,3490.3,23.3
Pfizer Ltd.,PFIZER,500680,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,611.3,392.6,182.6,31.75,15.4,2.7,200.5,51.6,149.0,32.6,522.8,114.3
Phoenix Mills Ltd.,PHOENIXLTD,503100,REALTY,REALTY,906.6,361.2,506.0,57.82,65.9,96.5,375.2,71.4,252.6,14.2,923.6,51.7
Pidilite Industries Ltd.,PIDILITIND,500331,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,3107.6,2396.3,679.7,22.1,75.2,13.1,623.0,163.1,450.1,8.8,1505.5,29.6
Power Finance Corporation Ltd.,PFC,532810,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),22403.7,315.4,22941.9,102.46,12.7,14313.1,8628.8,2000.6,4833.1,14.7,17946.4,54.4
Power Grid Corporation of India Ltd.,POWERGRID,532898,UTILITIES,ELECTRIC UTILITIES,11530.4,1358.7,9908.4,87.94,3277.0,2341.3,4393.4,573.7,3781.4,4.1,15344.4,16.5
Prestige Estates Projects Ltd.,PRESTIGE,ASM,REALTY,REALTY,3256.0,1643.9,592.5,26.49,174.1,263.9,1174.1,256.4,850.9,21.2,1714.0,42.8
Prism Johnson Ltd.,PRSMJOHNSN,500338,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,1846.0,1745.4,92.4,5.03,95.2,43.5,210.0,30.4,182.7,3.6,154.2,3.1
Procter & Gamble Hygiene & Healthcare Ltd.,PGHH,500459,FMCG,PERSONAL PRODUCTS,1154.1,853.5,284.9,25.03,14.3,1.9,284.5,73.8,210.7,64.9,734.4,226.3
Punjab National Bank,PNB,532461,BANKING AND FINANCE,BANKS,29857.0,6798.1,6239.1,23.23,0.0,16819.8,2778.3,1013.8,1990.2,1.8,5904.8,5.4
Quess Corp Ltd.,QUESS,539978,SOFTWARE & SERVICES,BPO/KPO,4763.5,4584.8,163.6,3.44,69.7,28.1,79.3,8.3,71.9,4.8,240.9,16.2
RBL Bank Ltd.,RBLBANK,540065,BANKING AND FINANCE,BANKS,3720.6,1422.6,765.4,25.45,0.0,1532.6,125.0,-206.1,331.1,5.5,1173.9,19.5
Radico Khaitan Ltd.,RADICO,532497,FOOD BEVERAGES & TOBACCO,BREWERIES & DISTILLERIES,925.7,803.8,121.2,13.1,26.1,12.5,83.3,21.4,64.8,4.8,237.0,17.7
Rain Industries Ltd.,RAIN,500339,CHEMICALS & PETROCHEMICALS,PETROCHEMICALS,4208.9,3794.3,366.0,8.8,192.5,241.7,-19.5,46.2,-90.2,-2.7,270.4,8.0
Rajesh Exports Ltd.,RAJESHEXPO,531500,TEXTILES APPARELS & ACCESSORIES,GEMS & JEWELLERY,38079.4,38015.8,50.1,0.13,10.7,0.0,53.0,7.7,45.3,1.5,1142.2,38.7
Rallis India Ltd.,RALLIS,500355,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,837.0,699.0,133.0,15.99,26.0,3.0,110.0,28.0,82.0,4.2,98.4,5.2
Rashtriya Chemicals & Fertilizers Ltd.,RCF,524230,FERTILIZERS,FERTILIZERS,4222.1,4049.3,105.9,2.55,56.1,44.0,72.8,21.1,51.0,0.9,523.6,9.5
Redington Ltd.,REDINGTON,532805,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING  & DISTRIBUTION,22296.6,21738.7,481.4,2.17,43.7,105.8,408.3,96.7,303.5,3.9,1242.0,15.9
Relaxo Footwears Ltd.,RELAXO,530517,RETAILING,FOOTWEAR,725.9,623.8,91.5,12.79,36.9,4.7,60.4,16.2,44.2,1.8,193.9,7.8
Reliance Industries Ltd.,RELIANCE,500325,OIL & GAS,REFINERIES/PETRO-PRODUCTS,238797.0,193988.0,40968.0,17.44,12585.0,5731.0,26493.0,6673.0,17394.0,25.7,68496.0,101.2
REC Ltd.,RECLTD,532955,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),11701.3,275.1,12180.5,104.21,6.1,7349.8,4837.6,1047.7,3789.9,14.4,12738.6,48.4
SJVN Ltd.,SJVN,533206,UTILITIES,ELECTRIC UTILITIES,951.6,172.2,706.2,80.4,101.9,124.2,567.7,129.2,439.6,1.1,1016.0,2.6
SKF India Ltd.,SKFINDIA,500472,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,1145.5,1003.7,121.5,10.8,19.3,0.5,122.0,31.7,90.0,18.2,484.0,97.9
SRF Ltd.,SRF,503806,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,3206.5,2551.2,626.2,19.71,161.2,79.3,414.8,114.0,300.8,10.2,1733.4,58.5
Sanofi India Ltd.,SANOFI,500674,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,726.4,506.1,208.5,29.17,9.9,0.3,210.1,57.9,152.1,66.1,596.3,259.3
Schaeffler India Ltd.,SCHAEFFLER,505790,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1879.2,1506.3,342.0,18.5,55.6,1.6,315.7,80.7,235.0,15.0,922.6,59.0
Shree Cements Ltd.,SHREECEM,500387,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,4932.1,3914.1,886.0,18.46,411.7,67.0,539.2,92.6,446.6,123.8,1826.8,506.3
Shriram Finance Ltd.,SHRIRAMFIN,511218,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),8893.0,1409.4,6334.3,71.3,141.4,3798.0,2404.2,614.9,1786.1,47.6,6575.4,175.2
Siemens Ltd.,SIEMENS,500550,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,5953.2,5107.5,700.2,12.06,78.6,4.9,762.2,190.5,571.3,16.1,1960.9,55.1
Sobha Ltd.,SOBHA,532784,REALTY,REALTY,773.6,665.8,75.4,10.18,19.3,63.9,24.7,9.7,14.9,1.6,107.4,11.3
Solar Industries India Ltd.,SOLARINDS,532725,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,1355.2,1011.3,336.1,24.95,33.7,24.9,285.3,75.5,200.1,22.1,808.2,89.3
Sonata Software Ltd.,SONATSOFTW,532221,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1935.8,1715.2,197.3,10.32,33.3,20.7,166.5,42.3,124.2,9.0,475.7,34.3
State Bank of India,SBIN,500112,BANKING AND FINANCE,BANKS,144256.1,58597.6,22703.3,21.14,0.0,62955.2,21935.7,5552.5,17196.2,18.0,69304.1,77.7
Steel Authority of India (SAIL) Ltd.,SAIL,500113,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,29858.2,25836.7,3875.4,13.04,1326.6,605.2,1674.7,464.2,1305.6,3.2,3219.5,7.8
Sun Pharma Advanced Research Company Ltd.,SPARC,532872,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,29.7,112.7,-91.5,-431.87,3.2,0.3,-86.4,0.0,-86.4,-2.7,-253.6,-7.8
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,524715,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,12486.0,9013.0,3179.4,26.08,632.8,49.3,2790.9,390.1,2375.5,9.9,8548.5,35.6
Sun TV Network Ltd.,SUNTV,532733,MEDIA,BROADCASTING & CABLE TV,1160.2,320.6,727.8,69.42,218.8,1.7,619.1,154.4,464.7,11.8,1861.8,47.2
Sundram Fasteners Ltd.,SUNDRMFAST,500403,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1429.1,1191.1,230.7,16.23,54.5,7.4,176.2,43.1,131.9,6.3,502.9,23.9
Sunteck Realty Ltd.,SUNTECK,512179,REALTY,REALTY,36.2,39.1,-14.1,-56.7,2.2,15.8,-20.9,-6.4,-13.9,-1.0,-46.5,-3.3
Supreme Industries Ltd.,SUPREMEIND,509930,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,2321.4,1952.5,356.2,15.43,71.9,1.6,295.4,76.3,243.2,19.1,1028.2,80.9
Suzlon Energy Ltd.,SUZLON,ASM,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,1428.7,1196.4,225.0,15.83,51.2,43.7,102.4,0.1,102.3,0.1,561.4,0.4
Syngene International Ltd.,SYNGENE,539268,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,931.7,656.0,254.1,27.92,104.6,13.0,150.7,34.2,116.5,2.9,498.3,12.4
TTK Prestige Ltd.,TTKPRESTIG,517506,CONSUMER DURABLES,HOUSEWARE,747.2,648.6,80.8,11.08,15.9,3.1,79.5,20.5,59.3,4.3,224.3,16.2
TV18 Broadcast Ltd.,TV18BRDCST,532800,MEDIA,BROADCASTING & CABLE TV,1989.0,1992.2,-198.1,-11.04,50.1,33.8,-87.1,-6.5,-28.9,-0.2,92.2,0.5
TVS Motor Company Ltd.,TVSMOTOR,532343,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,9983.8,8576.9,1355.9,13.65,237.1,483.3,686.4,259.8,386.3,8.1,1457.6,30.7
Tata Consultancy Services Ltd.,TCS,532540,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,60698.0,43946.0,15746.0,26.38,1263.0,159.0,1533.0,395.0,11342.0,31.0,44654.0,122.0
Tata Elxsi Ltd.,TATAELXSI,500408,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,912.8,618.2,263.5,29.89,25.0,5.8,263.9,63.8,200.0,32.1,785.1,126.1
Tata Consumer Products Ltd.,TATACONSUM,500800,FMCG,PACKAGED FOODS,3823.6,3196.7,537.1,14.38,93.9,27.6,490.9,131.7,338.2,3.6,1275.2,13.7
Tata Motors Limited (DVR),TATAMTRDVR,570001,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,,,,,,,,,,,,
Tata Motors Ltd.,TATAMOTORS,500570,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,106759.0,91361.3,13766.9,13.1,6636.4,2651.7,5985.9,2202.8,3764.0,9.8,15332.3,40.0
Tata Power Company Ltd.,TATAPOWER,500400,UTILITIES,ELECTRIC UTILITIES,16029.5,12647.0,3091.0,19.64,925.9,1181.8,979.2,213.3,875.5,2.7,3570.8,11.2
Tata Steel Ltd.,TATASTEEL,500470,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,55910.2,51414.1,4267.8,7.66,2479.8,1959.4,-6842.1,-228.0,-6196.2,-5.1,-6081.3,-5.0
Tech Mahindra Ltd.,TECHM,532755,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,13128.1,11941.1,922.8,7.17,465.7,97.5,623.8,110.0,493.9,5.6,3600.7,40.9
The Ramco Cements Ltd.,RAMCOCEM,500260,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,2352.1,1935.0,405.6,17.33,162.8,116.5,137.8,37.0,72.0,3.1,348.9,14.8
Thermax Ltd.,THERMAX,500411,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,2368.3,2097.8,204.6,8.89,33.0,19.8,217.7,58.9,157.7,14.0,498.8,44.3
Timken India Ltd.,TIMKEN,522113,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,692.1,546.5,135.5,19.87,21.1,0.9,123.6,30.6,93.0,12.4,358.3,47.6
Titan Company Ltd.,TITAN,500114,TEXTILES APPARELS & ACCESSORIES,GEMS & JEWELLERY,12653.0,11118.0,1411.0,11.26,144.0,140.0,1251.0,336.0,915.0,10.3,3302.0,37.1
Torrent Pharmaceuticals Ltd.,TORNTPHARM,500420,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,2686.0,1835.0,825.0,31.02,201.0,91.0,559.0,173.0,386.0,11.4,1334.0,39.4
Torrent Power Ltd.,TORNTPOWER,532779,UTILITIES,ELECTRIC UTILITIES,7069.1,5739.5,1221.4,17.55,341.7,247.2,740.7,198.1,525.9,10.9,2176.8,45.3
Trent Ltd.,TRENT,500251,RETAILING,DEPARTMENT STORES,3062.5,2525.8,456.6,15.31,152.2,95.5,288.9,86.3,234.7,6.6,629.4,17.7
Trident Ltd.,TRIDENT,521064,TEXTILES APPARELS & ACCESSORIES,TEXTILES,1812.0,1557.3,240.3,13.37,89.4,35.0,130.4,40.1,90.7,0.2,458.1,0.9
UPL Ltd.,UPL,512070,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,10275.0,8807.0,1325.0,13.03,657.0,871.0,-185.0,-96.0,-189.0,-2.5,1856.0,24.7
UltraTech Cement Ltd.,ULTRACEMCO,532538,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,16179.3,13461.2,2550.9,15.93,797.8,233.9,1686.2,409.4,1281.5,44.5,5694.1,197.2
Union Bank of India,UNIONBANK,532477,BANKING AND FINANCE,BANKS,28952.5,6189.3,7265.0,29.38,0.0,15498.2,5492.3,1944.0,3571.8,5.1,11918.9,16.1
United Breweries Ltd.,UBL,532478,FOOD BEVERAGES & TOBACCO,BREWERIES & DISTILLERIES,1902.1,1705.8,184.3,9.75,50.9,1.4,144.0,36.9,107.3,4.1,251.3,9.5
United Spirits Ltd.,MCDOWELL-N,532432,FOOD BEVERAGES & TOBACCO,BREWERIES & DISTILLERIES,6776.6,6269.8,466.7,6.93,65.3,26.2,446.0,106.3,339.3,4.8,1133.0,15.6
V-Guard Industries Ltd.,VGUARD,532953,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,1147.9,1041.3,92.5,8.16,19.8,9.3,77.5,18.6,59.0,1.4,215.2,5.0
Vardhman Textiles Ltd.,VTL,502986,TEXTILES APPARELS & ACCESSORIES,TEXTILES,2487.0,2192.1,205.4,8.57,103.7,22.0,169.2,41.7,134.3,4.7,531.9,18.7
Varun Beverages Ltd.,VBL,540180,FOOD BEVERAGES & TOBACCO,NON-ALCOHOLIC BEVERAGES,3889.0,2988.4,882.1,22.79,170.8,62.5,667.3,152.9,501.1,3.9,1998.7,15.4
Vinati Organics Ltd.,VINATIORGA,524200,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,464.4,337.3,110.8,24.73,13.7,0.3,113.0,28.9,84.2,8.2,408.2,39.7
Voltas Ltd.,VOLTAS,500575,CONSUMER DURABLES,CONSUMER ELECTRONICS,2363.7,2222.5,70.3,3.06,11.7,11.4,118.1,49.3,36.7,1.1,199.5,6.0
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,533023,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1015.8,846.2,145.5,14.67,27.1,1.3,141.2,35.5,105.7,55.7,392.0,206.7
Welspun Corp Ltd.,WELCORP,ASM,METALS & MINING,IRON & STEEL PRODUCTS,4161.4,3659.9,399.5,9.84,85.7,75.0,340.8,79.0,384.7,14.7,809.2,30.9
Welspun Living Ltd.,WELSPUNLIV,514162,TEXTILES APPARELS & ACCESSORIES,TEXTILES,2542.4,2151.1,358.0,14.27,98.5,33.8,258.9,58.7,196.7,2.0,526.1,5.4
